review,sentiment
"Just to let everyone know, this is possibly the WORST movie I have ever seen, and I've seen pretty much everything. If you're thinking of renting it, DON'T!!! It's not worth the cardboard container that it came in....",negative
"I chose to watch this film because I am a Stephen Nichols fan. Unfortunately, I am unhappy with Mr. Nichols' choice to do this movie. The film was slow, badly acted, and included some very graphic sex scenes of Mr. Nichols' character with a very young woman. Watch at your own peril!",negative
"""Fear of a Black Hat"" is a superbly crafted film. I was laughing almost continuously from start to finish. If you have the means, I highly recommend viewing this movie It is, by far, the funniest movie I have had the pleasure to experience. Grab your stuff!",positive
"Really bad movie. Maybe the worst I've ever seen. Alien invasion, a la The Blob, without the acting. Meteorite turns beautiful woman into a host body for nasty tongue. Bad plot, bad fake tongue. Absurd comedy worth missing. Wash your hair or take out the trash.",negative
"""Dominion"" is a good movie,but not original.It blends some elements of slasher movie and adventure flick.The setting is wonderful,the acting is acceptable and the film is fast-paced and exciting.Highly recommended for any thriller/adventure buff.",positive
"this film is in the MANDINGO & DRUM type<br /><br />they were both dreadful BUT they are 100% better than this tripe,<br /><br />Badly acted & made Oliver Reed is the main name & Eartha Kitt also is in it. Tis a pity. Rating is 1/2* about as low as yu can get<br /><br />as always<br /><br />jay harris",negative
You've got to be kidding. This movie sucked for the sci-fi fans. I would only recommend watching this only if you think Armageddon was good.,negative
"This is one for the Golden Turkey book. It's another of those ""putting on a show"" flicks. The dialogue is turgid. The music is terrible. The costumes may be the worst ever. And the Nick Castle choreography is hilariously dreadful. Check it out, oh ye who love bad flicks. Only Perry Como is tolerable.",negative
"This digital horror film brings us into the Micro-budget film genre where the more blood and chicks in distress the better. The story is weak, the acting is respectable and the special effects, well, they're special alright. A quality horror film for the fans that already know what to expect.",negative
"Not many people have seen this film, and it is a shame because it is a work of art. The characters are brilliant, the dialogue is sensational and the use of themes leaves the audience wondering. I truly loved this film and can't wait to see more of Matthew George's work.",positive
"This started out slow, then got worse. The best parts of this were all seen in the previews.<br /><br />Bad Apple has the feel of a pilot - if that's the case TNT should save their money.",negative
this movies is really special ! it's about a young french who go in Barcelona (spain) in order to study and in barcleona he meets other youngs europeean like him. This film he's the EUROPEAN MOVIES of the YEAR so go watch it !,positive
"I'm not even gonna waste time on this one; it's not funny, not scary, practically unwatchable and only occassionaly gory(the FX suck though(no pun intended)). This is a disclaimer; WATCH AT YOUR PERIL! Ask yourself 1 question; Are slugs scary?",negative
"<br /><br />Human Body --- WoW.<br /><br />There are about 27,000 Sunrises in human life....<br /><br />Hardly one thousand Sunrises will be watched by 90% of Humans on this planet....<br /><br />Our days are limited...<br /><br />Excellent movie for all women.... makers of human body...<br /><br />Thanks and Regards.<br /><br />",positive
"What a total lump of poopoo this was! You've got to be kidding people! Any positive reviews of this movie are plants or insiders from the movie makers themselves! yuuck! disgusting movie!, not gross digusting but just plain awful!",negative
"there is a story, but more essentially, the world of this film begins in chaos and comes to order over the course of ten minutes.<br /><br />it is a celebration of life and an optimistic assertion of objective truth and good. representing along an axis unexplored in previous cinema, this film should be taught in every high school.<br /><br />*CHIASMUS*",positive
"An updated version of a theme which has been done before. While that in and of itself is not bad, this movie doesn't reach the ring like the other ""inherent and pure"" evil ones do. <br /><br />Predictable, ambitious attempt that falls short of the mark. Not worth sitting through for the tired contrived ending.",negative
"Aside for being classic in the aspect of its cheesy lines and terrible acting, this film should never be watched unless you are looking for a good cure for your insomnia. I can't imagine anyone actually thinking this was a ""good movie.""",negative
"For a movie with a plot like this I would normally smell ""tearjerker"" in the first ten minutes and turn it off, but this was very well made, with emotional subtleties, great acting, and some genuinely funny moments. It was also interesting to see a different culture - a vanishing one at that. My wife and I both dug it!",positive
This is just a very bad film. Miles looks as if she is in pain during the sex scenes and the acting is wooden. It also drags on slowly and never really finds a point to it all. One of the worst films that I have ever seen!,negative
"This is hands down the worst movie of all time. A combination of Whoopie Goldberg (the worst actress/person in history) and a talking dinosaur ala Jar-Jar-Binks add up to a painfully bad movie. That was an understatement. This movie is unwatchable. For the love of God, do not watch this movie.",negative
"As I said the idea itself was great and it had plenty potential. I was truly sad of discovering that this was another typical American mass movie: ""We are in this for the money..."" If only the producers had had more time to actually MAKE the movie. This one was not finished when they let it out...",negative
"This movie is all about blaxploitation, there is absolutely no plot at all. A pimp stops some bad guys with his kung fu hoes to try to get his nightclub back. Rated R for Strong Language, and a brief sexual situation.",positive
"The screen-play is very bad, but there are some action sequences that i really liked. I think the image is good, better than other romanian movies. I liked also how the actors did their jobs.",negative
"with very little screen time and money, Dan Katzir manages to do so much. This movie, in its heart-warming simplicity, touches the beauty of love from a fresh angle. rejuvinated lust",positive
"I did not enjoy the film Eraser whatsoever. It's awful acting, boring storyline and average special effects made this an annoying arnie film, as it had a mountain of potential. With other action films of the time Eraser fell very short!!!",negative
"What can I add that the previous comments haven't already said. This is a great film and the Light Sabre duel Star Wars tribute has to be seen to be believed!! There are moments of genius throughout this movie, if you can, SEE IT NOW! Thanks again to Rick Baker who gave me this movie many years ago!",positive
The movie I received was a great quality film for it's age. John Wayne did an incredible job for being so young in the movie industry. His on screen presence shined thought even though there were other senior actors on the screen with him. I think that it is a must see older John Wayne film.,positive
"This is an intimate movie of a sincere girl in the real world out of Hollywood's cheap fantasy is a very good piece of its class, and Ashley Judd fills the role impeccably. It may appear slow for thrill seekers though. Cool movie for a calm night.<br /><br />",positive
"This delightful movie tells the story of buds. And it's incredible. You'll laugh, and you'll smile, and you'll laugh. It's really all about the laughs. When Jon Bon Jovi is funny in a movie, it's a heck of a movie! 'nuff said. Now go watch it!",positive
"i am very disappointed with this movie because i like these french actors and i liked ""Buffet Froid"" from this Director (bertrand blier) but the script of ""Les Acteurs"" is VERY POOR. why these actors they agreed to play this poor scenario.",negative
"I havent seen that movie in 20 or more years but I remember the attack scene with the horses wearing gas-masks vividly, this scene ranks way up there with the best of them including the beach scene on Saving private Ryan, I recommend it strongly.",positive
"Working in a music store, my collegue first tipped me this soundtrack. The music of this movie is perfect. One of my favorite CD's. Only years later I saw the movie, I was afraid it would not fulfill my high expectations, luckily it did. A feel good romantic love story.",positive
"Prince of Central Park (2000) is so utterly bad. It was a pure waste of my time and I can't believe I actually watched the whole thing. Please do not watch this movie, if it's the last thing you do!",negative
Ten minutes of people spewing gallons of pink vomit. Recurring scenes of enormous piles of dog excrement - need one say more???,negative
"Bad editing, bad production values, bad continuity, implausible, bad dialogue... this movies is bad, bad, bad. However, if you want a movie to poke fun at (a la MST3000), this is your movie. I wouldn't suggest spending much money on it, but if you do see this movie, make sure it's with plenty of witty, like-minded buddies.",negative
This movie is very funny. Amitabh Bachan and Govinda are absolutely hilarious. Acting is good. Comedy is great. They are up to their usual thing. It would be good to see a sequel to this :)<br /><br />Watch it. Good time-pass movie,positive
"Lots of singing and dancing in this one, especially by Gene Kelly. Two sailors go on liberty to see if they can find love and romance. They meet up with a woman who is trying to break into show business. Musical lovers only.",positive
"Poorly directed short ""film"" (shot on hi-def or betacam it appears). It screams student film/video all the way. The premise is limited in scope and the short actually feels a lot longer than it runs. Some interesting acting moments and some decent production value, but not enough to lift this film from ""the hole"" it has fallen into.",negative
"Okay, to be fair this movie did have an interesting concept. Given a few script rewrites, some decent actors and a budget, this might have been a fairly decent cult flick instead of the MST3K fodder it turned out to be.<br /><br />Still, it was better than ""Armageddon.""",negative
"Extremely well-conceived - part whatever happened to, part behind the scenes revisitation, part reunion film - all done in the same campy style that made the original series so much fun. I only wish this had been done 10 years ago to include more guest villains who have passed on.",positive
"Once in a while you get amazed over how BAD a film can be, and how in the world anybody could raise money to make this kind of crap. There is absolutely No talent included in this film - from a crappy script, to a crappy story to crappy acting. Amazing...",negative
"I was really excited when I read ""The Canterville Ghost"" would be shown on TV. However, I was deeply disappointed. I loved the original story written by Oscar Wilde and sadly nothing of that was transferred by the movie.",negative
"Very nice action with an interwoven story which actually doesn't suck. Interesting enough to merit watching instead of skipping past to get to the good parts. Having Jenna Jameson and Asia Carrere helps liven it up, too. Jenna in that sweater and those glasses is just astounding! Worth picking up just to see her!",positive
"The creators of south park in their own film here, this is a brilliant film with a huge entertainment factor. If you like Naked Gun films and are not young and not too mature or serious on your humor, you'll love this.",positive
"Overall I'd call this a disappointing performance. It attempts the old ""Horror Anthology"" approach, but fails miserably. The acting was bad, and so were the stories. Any skin shown in the movie was obviously random, just to attract the R-rating for sex. Typical, I guess, but bad nonetheless. Take your $5 and rent a REAL movie instead!",negative
"This movie goes beyond just being bad, it is definitively the worst movie I have ever seen in my entire life. Unless you yourself have a problem with necrophilia than you will not enjoy will not enjoy the scenes depicting it in this film, (if you can call it that).",negative
My only question is: Why did they make this movie? Did they have a script or did they make it up as they went along? Boom Boom doesn't look like a Charley Davis. John Garfield probably turned over in his grave if he saw this.,negative
"Growing up in a multi racial neighborhood back in the 20's and 30's, I grew up very close to most of the Italian families living there. This move brought back so many pleasant memories. this is a movie most people would like who enjoy seeing more true to life movies.",positive
"Jean-Hugh Anglade is excellent as the teenaged boy who wants to be a whore to please the man he loves, but the rest of this film is so bad--acting, writing, cinematography, and everything else--that Anglade's performance is wasted. Sad to see so fine an actor in such a garbage flick.",negative
"My wife did not realize what a gem this movie was when she picked it up. It is a story that shows real world success through hard work and determination.<br /><br />That is so refreshing in a world of violent movies not that I dis-like them), but you have to love a movie that succeeds without it.",positive
"It's got action and fantasy mixed all together what more do you want in an action movie? And it also has one of the best martial artists in the movie industry today, Wesley snipes.So all in all this movie hasn't left anything out. And that's my comment of what I think is a classic beat em up movie.",positive
"Just plain terrible. Nick and Michael are WAY better actors than this. A ""C"" rated flick at best. The plot was weak and the characters totally undeveloped. Even the film and sound quality was terrible. I suppose that these were all young actors at the time and this script just filled a job nitch.",negative
"I saw a lot films about Charles Dickens' Christmas Carol. But this one is the best of all! There is an atmosphere which is exactly the same as in the book. The actors (George C. Scott and others) are great! Unfortunately, you can't often watch the film in Germany and Switzerland.",positive
"some funny lines are all what makes this movie bearable. the camera tv-movie-like, the acting poor (julie davis is more than disapointing) and the directing amateurish and / or loveless. but i can understand that no one had fun to realise the overconstructed and trivial script.",negative
"Son In Law didn't do so hot in the box office, but that only means the masses were wrong. This movie is one of the few movies that Pauly Shore really excels in, with some of the funniest lines I've ever heard. Although the ending is sub-par, the antics of Shore carries the movie.",positive
"An annoying experience. Improvised dialogue, handheld cameras for no effect, directionless plot, contrived romance, ick! to the whole mess. Ron Silver was the only real actor. Gretta Sacchi was TERRIBLE! Henry Jaglom did better with Eating which suited his style much more.",negative
"The movie was a big Car Commercial. :-)<br /><br />But who cares? I went to the theater to view the Shelby Cobra, Angelina & Cage.<br /><br />So I guess it was a good movie. *bg*<br /><br />",positive
Yet another foreign war movie that puts hollywood to shame. Real in the same proportions that hollywood productions such as harts war and windtalkers are unreal. A moving story backed up by strong acting and great film making.,positive
"Fear of a black hat is a hilarious spoof of Hip-Hop culture. It is just as funny as This Is Spinal Tap, if not funnier. The actors are incredible and the documentary style is superb. Mark Christopher Lawrence is a tremendous talent that should be starring in a lot more films. This film is a true cult classic!",positive
"Well, not yet, at least.<br /><br />It's not listed in the worst 100...<br /><br />So let's all team up, and put it in it's rightful place.<br /><br />This is truly a bad movie. (And I liked Ishtar!) ;)",negative
"Found this one in the video store and rented it. It's one of those quirky, quasi-comedies that's more interesting and weird than funny. It's a good one at that. It reminds me a lot of Being John Malkovich. If you enjoyed that movie you will most likely enjoy this one.",positive
"As usual, Sean Connery does a great job. Lawrence Fishburn is good, but I have a hard time not seeing him as Ike Turner.",positive
"There's never a dull moment in this movie. Wonderful visuals, good actors, and a classical story of the fight of good and evil. Mostly very funny, sometimes even scary. A true classic, a movie everybody should see.",positive
This movie is really funny!! The General is Keaton's finest work but there are many of his works that are more hilarious - in this one are multiple sight gags and creative humor. We watch it over and over and it only seems to get funnier!,positive
"You'll probably never see it, but the uncut version is about 50% better than the one you can buy. Put it another way: once you've seen it in its original form, the current version is only half as good.<br /><br />It's still wildly creative and sick, a total success on so many levels.<br /><br />",positive
This sequel is brilliant and is the last film Donald Pleasance (Dr.Loomis) worked on before his death. I loved the new direction the film took with the story instead of just Michael Myers wanting to kill his family. I love this whole series and apart from the first and second movies this is by far the best.,positive
"The worst movie in the history of cinema. I don't know if it was trying to be funny or sad, poignant or droll, but the end result was unwatchable. Everyone from Key Grip, to Robin Williams, and back down to Best Boy should be ashamed to be a part of this film!",negative
"The premise is rather original and well thought-of, but unfortunately, siding a good story is very low budget that doesn't even allow for decent special effects. Jeff Fahey does his best amongst a poor cast, as does the always beautiful Linda Hoffman. They should make more movies together. The movie, while not worth much praise, warrants at least one viewing.",positive
"I saw this again today for the first time in about 6 years. I had forgotten how well acted this movie is. Paul Newman gets the billing, but Dwight Schultz holds his own and shows how good an actor he really is.",positive
"Terrible story, poor acting and no humour at all (apart from the final joke at the end)<br /><br />Some sort of ugly angel is sent to earth to save a boy and his mum from being thrown out of their home. Supposed to be a kiddies movie, but even they will not be amused by this terrible film",negative
"Faith Domergue (better known as ""Dr. Ruth"" in THIS ISLAND EARTH) is the only reason to watch this film. The story is very thin, and once the Air Force buddies return to the States with a Cobra Curse upon them the action is just a waiting game. See Faith the Snake Woman and try to pretend the rest isn't happening.",negative
this is the best sci-fi that I have seen in my 29 years of watching sci-fi. I also believe that Dark Angel will become a cult favorite. The action is great but Jessica Alba is the best and most gorgeous star on TV today.,positive
This movie is terrible but it has some good effects.,negative
I found the storyline in this movie to be very interesting. Best of all it left out the usual sex and violence (they're getting old) inserted in many movies. The movie was well done in its flashbacks to days gone by in that area of the Southwest. The acting was also superb.,positive
"Bottom-of-the-Freddy barrel. This is the worst film in the series, beating ""Freddy's Revenge"" for that title. A cheap-looking (with mediocre special effects), incoherent mess, with Freddy turned into a punster. He has one or two cool lines, but that doesn't save this illogical and sloppy sequel.",negative
"I think this is Pauly Shore's best stuff, he played the part perfect. I really enjoyed this movie, Patrick Renna is really funny as Zack the annoying little brother. Son In Law is a good comedy worth your time, but the only thing I wish Tiffany Thiessen was the farm chick instead of the one they had.",positive
"Ernest P. Worrell comes through with his third movie presentation. Jim Varney not only plays Ernest, but doubles as the evil Mr. Nash. From start to finish this movie has some solid laughs and makes a good family film! Rated PG for comic book violence.",positive
"A quite good film version of the novel, though at the beginning a little bit lengthy. Fortunately there are a few funny scenes from time to time. This movie is surely not for the main stream audience - but for fans of Italian (or Portuguese) cinema, a must-see also for Mastroianni-fans.",positive
"The movie was a suspenseful, and somewhat dark, look at the severe results of a genuinely human mistake. Connery and Fishburne work very well together in this thriller about murder and redemption. Keep your boots on for the strange turnaround at the end of the movie...you'd never expect it!",positive
"This has got to be the best movie I've seen. You definately have to watch it more than once to find all of the humor and twists. I'm no fan of George Clooney, but he shines here. The real performance comes from Tim Blake Nelson and John Turturro as Pete and Delmar. One of the few movies that I own.",positive
"Taped this late night movie when I was in grade 11, watched it on fast forward. I sugest you do the same. I though it would be and action film, but went to a cort tv type movie. In the end it fits in with the early 70's social activest type films. Glad I missed that era. 2/10",negative
Best club scenes that i have seen in a long time - atmosphere mesmerising - matthew Rhys's performance is impeccable and faultless. i would recommend this film to any age group. watch out for wonderwoman!,positive
It is an almost ideal romantic anime! MUST SEE FOR ALL AGES! But the English dubbed version is not too good. Perhaps the 1999 version will be better.,positive
"I watched the movie in a preview and I really loved it. The cast is excellent and the plot is sometimes absolutely hilarious. Another highlight of the movie is definitely the music, which hopefully will be released soon. I recommend it to everyone who likes the British humour and especially to all musicians. Go and see. It's great.",positive
"As far as horror flicks go, this one is pretty darn good. While it may not be a classic tale of horror and suspense, it does provide many quality chuckles that make this movie a must see if you're into the horror/comedy genre.",positive
"This movie is extremely funny and it also contains the best looking girl, this young man has ever seen. Tiffani-Amber Thiessan is a great actress and she has the looks that stop traffic. Tiffani completes this movie, which contains funny scenes put on by Shore.",positive
"For long time I haven't seen such a good fantasy movie, magic fights here are even better than in LOTR, even considering that it's a 1987 movie and haven't computer special effects. This movie have good plot, good acting and interesting ideas. Recommend everybody to see it.",positive
"WOW, finally Jim Carrey has returned from the died. This movie had me laughing and crying. It also sends a message that we should all know and learn from. Jeniffer Aniston was great, she will finally have a hit movie under her belt. If you liked liar liar you will love this movie. I give it 9/10.",positive
"While essentially a remake of the original Chinese Ghost Story, this third installment has higher production values and greater subtlety in both the acting and the story. Tony Leung is particularly good. CGS III is a gorgeous, moving film.",positive
"Great cult flick for MST-3K types: Richard Boone is a mess -- bad hair, arthritis, even his dark glasses aren't right; about as good as a bad dino-flick can get... actually, that charging saber-toothed Styracosaurus was pretty cool -- maybe Spielberg should take a couple of notes from that one.",positive
"I had the misfortune of seeing this crapulous effort on television a few years ago. Suffice it to say Michael Gross phones in his performance, and Hasselhoff is the least convincing thief/psycho...EVER! If you have a couple of hours to kill, watch it and prepare to laugh.",negative
"Did the other reviewers watch the same movie I did? This was poorly written, poorly acted, and just overall boring. I made it well past the halfway point in the movie and then just gave up. I can't possibly imagine an ending that would have made the rest of the movie worthwhile. Don't waste your time with this dog. Seriously.",negative
"Yes, that's true. That movie is a horrible piece of... you know what. Almost all fans of Sapkowski's books in Poland think the same. The truth is that polish cinematography can not afford producing fantasy films. It's a shame when you compare ""Wiedzmin"" and ""Conan the Barbarian"" for example. I hope no one outside Poland will ever see this nightmare.",negative
"I caught this movie about 8 years ago, and have never had it of my mind. surely someone out there will release it on Video, or hey why not DVD! The ford coupe is the star.......if you have any head for cars WATCH THIS and be blown away.",positive
"It's one of my favorite movies as much because of the location and music as the story line. Don't matter how many times I watch it, it doesn't seem to ever get old. I can almost say all the lines along with the characters now. The movie is supper funny and really sweet.",positive
You'd better choose Paul Verhoeven's even if you have watched it.,negative
"Basic meaning of the story is a reality. Cruel true reality. Situations are very funny. You have to laugh when you see, how people can be stupid, obstinate and crazy. The best description will be, if you watch it on your own.",positive
"This movie has all the qualities to be good, Stan -singing (?), dancing, falling- is very funny, I think he handled his character in the best way possible. it's a parody and very well done, maybe times can change, there's another audience, but if you want to laugh, come on, see it!",positive
"Everyone involved with this project should be ashamed as to the result of their efforts. Oh. I laughed a coupe of times , but I laughed a couple of times during Schindler's list also. They really screwed up a good premise.",negative
"This movie for what it is, may be one of the most amazing indie films of recent day. Made on a super small budget, the film has special effects that blow away alot of the current films! IF you have a chance watch it!",positive
"That's about the only redeeming quality in a movie that otherwise insults the viewer's intelligence by losing track of time, plot, and reason for being produced.<br /><br />Plus, how that guy with the glasses ever got a gig in Hollywood is beyond me.",negative
"What can I say, it's a damn good movie. See it if you still haven't. Great camera works and lighting techniques. Awesome, just awesome. Orson Welles is incredible 'The Lady From Shanghai' can certainly take the place of 'Citizen Kane'.",positive
Enjoyable and watchable. Tim Meadows at his best. A big boost from Billy Dee Williams. He and a very funny John Witherspoon provide a solid foundation for Mr. Meadows' riffing. Have fun with this one.,positive
"Miles O'keefe stars as Ator, a loin-clothed hero who resembles a Chippendale's dancer. The Conan-wannabe must do battle with an evil guy in a Cher wig, and protect the Earth from the Geometric Nucleus, a sort of primitive atomic bomb. Watch closely for visible sunglasses and tire-tracks. Mystery Science Theater 3000 made fun of it under the title CAVE DWELLERS.",negative
"Man, this would have been a bad episode of the original series. I can't believe they actually spent money on this one... I caught the second half of this on tv and, having never seen this one before, thought I would watch it... Boy, what a waste of time... More cheese than Wisconsin!!!<br /><br />",negative
"I thought the movie was pretty good. I really enjoyed myself as I viewed it. However, the last scene at Johnny's birthday party was cut way too short. I, myself, was an extra in that scene and was upset with the results. But other than that, (and the weird casting), the movie was superb.",positive
"Shot in the Heart is wonderful. It brilliantly illustrates the plight of Gary Gimore, a convicted murder who requested death. Shot in the Heart shows the ordeal that Gilmore's family, torn up by hatred, went through. This movie is an incredible psychological study, and is wonderfully depressing and uplifting. 10/10",positive
"A great storyline with a message. Joan Plowright is superb as ""Phoebe"", Mike Kopsa is hilarious as ""coach"" and Richard de Klerk plays the role of ""Carmine"" superbly. Mischa Barton as ""Frankie"" puts in a good performance and Ingrid as ""Hazel"" plays her first lead extremely well. This film is superbly directed by Jo-Beth Williams. The editing is first rate.",positive
"The acrobatics mixed with haunting music, make one spectacular show. The costumes are vibrant and the performances will just boggle your mind! Simply amazing!",positive
"This film is an embarrassment. Nothing works on any level. The direction, screenplay, acting , and editing work together to repel your eyes from the screen. Everything is inappropriate and incoherent. At first you can sit there with and groan, wince, and laugh at it, but very shortly the whole effort of watching just becomes too ponderous.",negative
This was one of the worst movies I have ever seen! The only advantage seeing this movie is that the next movie can't possibly be worse. It's childish as hell (but Children aren't allowed),negative
"Rosalind Russell executes a power-house performance as Rosie Lord, a very wealthy woman with greedy heirs. With an Auntie Mame-type character, this actress can never go wrong. Her very-real terror at being in an insane assylum is a wonderful piece of acting. Everyone should watch this.",positive
"...about the importance of being young, having friends, and most of all enjoying life. Through the experience of four friends, Ligabue shows to the audience how life was back in the 70's in a small italian village. the four carachters represent the four different aspects of human behavior; also the drug experience is well represented.",positive
"Brian De Palma's undeniable virtuosity can't really camouflage the fact that his plot here is a thinly disguised ""Psycho"" carbon copy, but he does provide a genuinely terrifying climax. His ""Blow Out"", made the next year, was an improvement.",positive
"What can I say? An excellent end to an excellent series! It never quite got the exposure it deserved in Asia, but by far, the best cop show with the best writing and the best cast on televison. EVER! The end of a great era. Sorry to see you go...",positive
"This is one of the best movies I've seen. The acting is good, the plot is solid, and the whole movie is very believable, which adds a lot to the movie. I rate this at least a 9.",positive
"I think the opening 20 minutes of this film is perhaps one of the most exciting filmed, with the brilliant music score working to build tension to a shattering climax. What cinema goers made of this in the 30s, I can only imagine. The 'Times' said at the time, 'A miracle has come to the screen.' Watch it and marvel.",positive
"The first movie of this series was well written and original. This show drags on, poorly written gags, boring flashbacks, not the comedy that I expected. Even the young folks found it boring. There are certainly bright moments, historical elements and some good acting, but overall I can only recommend this for DVD/tape at home.",negative
"Maximally manipulative Anabel Sims (Betsy Drake) sets out to trap her ideal man, aided by her co-worker, Julie. Esteemed pediatrician Madison Brown (Cary Grant) goes from bemused to betrothed in the space of 90 minutes on film, but to the viewer it's all eternity. Can a movie receive less than one star? This one is a prime candidate.",negative
"i can't figure out who greenlighted this thing! it has no redeeming qualities, none, nada, zip, zilch.<br /><br />the acting was bad. the directing was bad. the writing was bad. the plot was bad. the music was bad. the editing was bad. ....well, at least the filmmakers were consistent.",negative
"David Morse and Andre Braugher are very talented actors, which is why I'm trying so hard to support this program. Unfortunately, an irrational plot, and very poor writing is making it difficult for me. I'm hoping that the show gets a serious overhaul, or that the actors find new projects that are worthy of them.",positive
"Fun bad movie which should amuse. One of Joan Crawford's last performances as the driven successful editor vs. all those young beautiful eager beavers fresh out of the elite Seven Sister Colleges. Great '50's ambiance of New York. Wonderful period costumes and hairdos. Terrific art direction. Trite story, but rousting tearjerker. Interesting cameo by Robert Evans as a rich cad.",positive
<br /><br />What an absolutely crappy film this is. How or why this movie was made and what the hell Billy Bob Thornton and Charlize Theron were doing signing up for this mediocre waste of time is beyond me. Strong advise for anyone sitting down to catch a flick: DO NOT waste your time on this 'film'.,negative
"This unsung quiet gem tells the true story of a POW escape during WW II. The performances are incredible, especially Anthony Steele. The movie works on many different levels: cerebral, emotional, visual, and literal. The dialogue is ingenious and rings very true. In fact, an unusual all-around authenticity puts this one head-and-shoulders above most war epics.",positive
"Definitely not worth the rental, but if you catch it on cable, you'll be pleasantly surprised by the cameos--Iman's appearance is especially self-deprecating. It's also an opportunity to watch all the male supporting cast members from The Sopranos typecast themselves.",negative
"One of the worst movies I have ever seen. Seagal has been acting in several entertaining action movies, but this time this movie really sucks. Just stupid killing and really stupid storyline. In addition, Seagul looks fat and old.",negative
"A pointless movie with nothing but gratuitous violence. The only fun I had was playing ""spot the location"", as much of it was filmed in my home town of Regina, Saskatchewan. I like to support locally produced films but this one was a major disappointment.",negative
"The animation was fab and the film funny. The two circus bugs, Tuck/Roll were very funny. If you waited till the credits at the end, you saw a very funny sequence of film, where they showed the bugs pretending to do things wrong like in other movies, that was clever as it made the characters more human and beliveable.",positive
"i have been watching this movie repeatedly, since it came out. even though it is 8 years old now, it still cracks me up. the jokes are still hilarious and the way the characters are portrayed will make anybody of any age laugh like they've never laughed before. Enjoy it",positive
Paul & Grace Hartman are my husbands grandparents. They were both deceased when we met so watching old movies is a good way to see them and their work. I have always enjoyed old movies and was very happy to discover that this was also a very good one.,positive
"The cast was well picked. Pauly Shore is hilarious and does a good job of bringing the plot of the movie together. However, Tiffani Amber Thiessan is who really makes this movie special. Her talented acting combined with her great looks makes this movie a definite see.",positive
This movie really rocks! Jeff Wincott is terrific in the film! His fighting incredible! He is such a fast martial artist! Brigitte Nielsen & Matthias Hues was very good! Mission of Justice is an action packed movie that is never boring! If you like fighting movies with incredible non stop action then check out Mission of Justice today!,positive
"An obscure horror show filmed in the Everglades. Two couples stay overnight in a cabin after being made a little uneasy by the unfriendliness of the locals. Who, or what, are the Blood Stalkers? After awhile they find out. Watch for the character of the village idiot who clucks like a chicken, he certainly is weird.",negative
"Brilliant. Ranks along with Citizen Kane, The Matrix and Godfathers. Must see, at least for basset in her early days. Watch it.",positive
"Thinly-cloaked retelling of the Garden-of-Eden story -- nothing new, nothing shocking, although I feel that that is what the filmmakers were going for. The idea is trite. Strong performance from Daisy Eagan, that's about it. I believed she was 13, and I was interested in her character. The rest left me cold.",negative
"The first half of the film is OK, the second half one of the most tedious experiences imaginable. Quite possibly the most overrated movie of all time. ""Pulp Fiction"" was robbed for ""Best Picture."" This is one of those films that people feel required to love because the main character is ""slow.""",negative
"I cannot believe how unknown this movie is,it was absolutely incredible. The ending alone has stuck with me for almost thirty years. The road sign through the rearveiw mirror blew me away. If you liked ""RACE WITH THE DEVIL"" you will love this movie",positive
